序号,UID,测试名称,指标名称,函数,维度,错误信息,分类,状态
13245,8d88e32dad64d3c7,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13246,876f4e079fa98c43,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13247,e66045dea3b9a150,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13248,a1718dc479b47623,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13249,fb155efe37b625f6,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13250,645b40529f48d7f3,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13251,434ab916d85bc96e,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13252,b368a2ee9e144a61,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13253,5eff3d701c8de779,testTitanQueryVsQueryService,one.service.interface.callMQ.msgCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13254,59d3c99b1d8bd99d,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13255,1c93abb3da8bfd0d,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13256,6539bc0e240a26fa,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13257,7f43bde79cde1440,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13258,c8257d67702f30c7,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13259,15ce8aaced137fc9,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13260,4609487e920a6a7e,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13261,6e4758997b4fce34,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13262,d515aa0746ca5dd8,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13263,ee61d5d284677d36,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13264,1f53fd9e6d983b64,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13265,cf93ac58cb192799,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13266,f00e58a8fd844f04,testTitanQueryVsQueryService,one.service.interface.callMQ.prodRequestPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13267,f11686ef78f8f7fa,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13268,93cd833c3324a0b9,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13269,d224812e185f8b04,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13270,ad8da263298c901,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13271,2eed42f3b6c7ab32,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13272,4eb0e6ab0cc6f99b,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13273,76cfa83b29670a75,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13274,3e02d0d039ca0b3d,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13275,f942ac13791020d7,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13276,3ac179c64195c10,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13277,10e35e81f9c1b0f7,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13278,d666ebbc169b436c,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13279,acdea34b8c56c716,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13280,254fb569b6ad807b,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgSizePerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13281,7490fb2f7f26b0b,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13282,5090f0483ef3eefd,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13283,a58abdfc8ff9ca4a,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13284,5674708d71d2afbf,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13285,5bb6868265f6dc73,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13286,3d76d4f77a880682,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13287,96a29825eaee9c42,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13288,8d2373c9c23bd965,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13289,aa16549f00fced2b,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13290,3a0ada776b13128a,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13291,aa6c4fa62cb8b65,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13292,7907db952208e2ce,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13293,7ad5a7b38df0a0f6,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13294,bb211b12611aca1c,testTitanQueryVsQueryService,one.service.interface.callMQ.prodMsgCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13295,3208b3f958f477eb,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13296,aa338a82c15028c2,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13297,ca270f59be32ff4,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13298,d7bd59353d2b91cc,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13299,3cba8c8acf5f3238,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13300,4b6a6767119d0d89,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13301,4021ec39a1456080,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13302,eb1a9441552a20c6,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13303,5ef0c2395ee04136,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13304,e9c43b067d2a80d6,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13305,1a20e450ac029946,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13306,469c57a4ac1814b2,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13307,42119d41a70ea12a,testTitanQueryVsQueryService,one.service.interface.callMQ.prodErrorCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13308,195e3438d977aafe,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13309,d6fd69cde46603de,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13310,e4da48b4d1be7a29,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13311,cdbd100bc43f32e5,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13312,b7f96aca37af3a4,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13313,fe7e4fc644951d78,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13314,9951e301baf75ff7,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13315,d01e942f211faa62,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13316,13e46700d15ded27,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13317,d3a0176ca2af32c,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13318,44510af507991d33,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13319,749e9439b153a7c2,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13320,818609f2c913592b,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13321,7aaa9c7141eacd46,testTitanQueryVsQueryService,one.service.interface.callMQ.consRequestPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13322,c8fbf4ddade8853e,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13323,1b93830a24bb538e,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13324,a8c49f791e461ee2,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13325,d33b6d214181b48e,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13326,e36b9e628b6786c4,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13327,ed0eb95b2de96522,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13328,dbb756227ce25e20,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13329,72ea566ad991ccf5,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13330,ab6f42650582da82,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13331,a485891b9d04c23a,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13332,bf4cfee4e3fb5039,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13333,d2a0c6779db68ae0,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13334,ac642a7392bc5bc9,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgSizePerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13335,66e76077f66a7aab,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13336,cf6acb768b2605c,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13337,ae6030161b637811,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13338,129232e218b03d7b,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13339,19417b587f469fb,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13340,7ab58143c5a3ed42,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13341,8a0d76eb681ea18e,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13342,2e684a99e0429613,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13343,6ad4ba1969ded034,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13344,6b319428516d5e8c,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13345,bac90c428cbee901,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13346,83ac0f3a38aa1349,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13347,27192ba58066bd6a,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13348,bfa50060cabcfafe,testTitanQueryVsQueryService,one.service.interface.callMQ.consMsgCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13349,ae0170c4ee34c95c,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13350,b666a10dcc19ed28,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13351,8a93105fcb3470f5,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13352,146c49cb0d2c15e6,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13353,d8ef08ffeb61b386,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,interfaceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13354,270d1a88c870092,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,interfaceType,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13355,218f124e56ccb64,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,mqAddress,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13356,a302b7319f17823a,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,mqProductName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13357,e912edf7b50e8c8a,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,mqRole,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13358,322cbf531973df8c,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,requestUrl,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13359,facff463aa0e582f,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,serviceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13360,5a06bf3bef430fcf,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,serviceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13361,d929dbecd63eb51c,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,serviceInstanceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13362,61bb18996c7380ca,testTitanQueryVsQueryService,one.service.interface.callMQ.consErrorCountPerMinute,serviceInstanceId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13363,c2567c9208af553f,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,callMQDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13364,48bc583a2c503d0c,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,callMQId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13365,8b912576ad7684fc,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,callTopicDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13366,70d586589782f29f,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,callTopicId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13367,d21014b6a5f9d885,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,dataCenterId,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
13368,40c7a8766ecf180f,testTitanQueryVsQueryService,one.service.interface.callTopic.errorRequestCountPerMinute,interfaceDetectedName,,TitanQuery查询失败: monitorTime cannot be directly included in the GROUP BY clause in throughput rate queries.,Product defects,failed
